ID	ACO1	ACO2	ACO3	ACO4	ACO5	AO1	AO2	AO3	AO4	AO5	B1	B2	B3	B4	B5	BO1	BO2	BO3	BO4	BO5	CO1	CO2	CO3	CO4	CO5	nCO1	nCO2	nCO3	nCO4	nCO5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	0.0	0.0	0.0	64.94904	0.0	0.0	0.0	0.0	0.0	0.0	0.46548	94.8819	0.0	0.03538	0.0	8.66797	79.9163	50.96981	1.0543	99.74938	78.88541	96.51869	61.66447	78.86817	89.50798	96.06692	66.49176	99.91298	94.38783	93.58146
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	0.0	0.0	0.0	64.94904	0.0	0.0	0.0	0.0	0.0	0.0	0.46548	94.8819	0.0	0.03538	0.0	8.66797	79.9163	50.96981	1.0543	99.74938	78.88541	96.51869	61.66447	78.86817	89.50798	96.06692	66.49176	99.91298	94.38783	93.58146
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Drosophila_melanogaster	0.0	0.0	0.0	62.5101	0.0	0.0	0.0	0.0	0.0	0.0	0.46548	93.20737	0.0	0.03538	0.0	8.66797	79.57949	48.81102	1.0543	98.79577	78.15676	95.39596	61.31073	77.99459	88.8641	95.16796	65.46375	99.07245	93.53885	93.34399
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Drosophila_melanogaster|t__Wolbachia_endosymbiont_of_Drosophila_melanogaster_unclassified	0.0	0.0	0.0	62.5101	0.0	0.0	0.0	0.0	0.0	0.0	0.46548	93.20737	0.0	0.03538	0.0	8.66797	79.57949	48.81102	1.0543	98.79577	78.15676	95.39596	61.31073	77.99459	88.8641	95.16796	65.46375	99.07245	93.53885	93.34399
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Onchocerca_ochengi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09186	0.0	0.10088	0.0	0.0	0.0	0.08862	0.0	0.08531	0.07247	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Onchocerca_ochengi|t__GCF_000306885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09186	0.0	0.10088	0.0	0.0	0.0	0.08862	0.0	0.08531	0.07247	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_pipientis	0.0	0.0	0.0	2.43894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60622	0.0	0.0	0.0	0.0	0.33681	2.1588	0.0	0.86175	0.72865	1.02184	0.35374	0.87359	0.64388	0.81034	1.028	0.75521	0.77651	0.23746
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_pipientis|t__Wolbachia_pipientis_unclassified	0.0	0.0	0.0	2.43894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60622	0.0	0.0	0.0	0.0	0.33681	2.1588	0.0	0.86175	0.72865	1.02184	0.35374	0.87359	0.64388	0.81034	1.028	0.75521	0.77651	0.23746
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	15.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	15.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	15.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	15.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas|s__Thiomonas_unclassified	15.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10392	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10392	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10392	0.0	0.0	0.0	0.0
